iter	RMSE
0	18.29711905
1	17.70365321
2	17.12672267
3	16.58855609
4	16.08264315
5	15.60556093
6	15.16264437
7	14.74484076
8	14.35218775
9	13.96932925
10	13.61637852
11	13.28190546
12	12.97511688
13	12.68228541
14	12.40863647
15	12.15439902
16	11.91385594
17	11.69510073
18	11.49062416
19	11.29935128
20	11.12222115
21	10.95748961
22	10.80575962
23	10.66515991
24	10.53309759
25	10.41162219
26	10.2980316
27	10.19186755
28	10.09463779
29	10.00336829
30	9.920187407
31	9.842236826
32	9.769099766
33	9.701793736
34	9.639942801
35	9.582764321
36	9.529854147
37	9.480552717
38	9.435154375
39	9.3931733
40	9.355169899
41	9.319502287
42	9.286890081
43	9.256185797
44	9.228103546
45	9.202385445
46	9.177679472
47	9.15543856
48	9.134774405
49	9.115418361
50	9.097633905
51	9.081440929
52	9.066152562
53	9.052185939
54	9.039085159
55	9.027037168
56	9.01572938
57	9.005703747
58	8.996050374
59	8.986707333
60	8.977963809
61	8.970065132
62	8.96268296
63	8.955932418
64	8.949698981
65	8.94385576
66	8.937403798
67	8.932298205
68	8.926916907
69	8.922628322
70	8.917930213
71	8.913802175
72	8.90985077
73	8.906400624
74	8.902663824
75	8.899940048
76	8.896806439
77	8.893525053
78	8.890885851
79	8.888411998
80	8.885566887
81	8.883116488
82	8.880719774
83	8.878568312
84	8.876450557
85	8.874527427
86	8.872591231
87	8.870587728
88	8.868671608
89	8.867035127
90	8.865382902
91	8.86393893
92	8.862670569
93	8.861330477
94	8.860151334
95	8.859066972
96	8.857827694
97	8.856790313
98	8.855888464
99	8.85514053
100	8.854181109
101	8.853485266
102	8.85247474
103	8.851692092
104	8.850798248
105	8.849960111
106	8.849237341
107	8.848588665
108	8.847874798
109	8.847177054
110	8.846631349
111	8.846048339
112	8.845545387
113	8.844928371
114	8.844541239
115	8.844111085
116	8.843676708
117	8.843086651
118	8.842626331
119	8.842061778
120	8.841538588
121	8.841166322
122	8.840832339
123	8.840431023
124	8.839974788
125	8.839406169
126	8.839218214
127	8.838949298
128	8.838678581
129	8.838272919
130	8.837836391
131	8.837468027
132	8.837076383
133	8.83677173
134	8.836539371
135	8.836355872
136	8.836177238
137	8.835985982
138	8.83583919
139	8.835777372
140	8.835626514
141	8.835384316
142	8.835139981
143	8.834955012
144	8.834804671
145	8.834583115
146	8.834303053
147	8.834002419
148	8.833759298
149	8.833550536
150	8.833322963
151	8.833237918
152	8.833035905
153	8.832842917
154	8.832597883
155	8.832405918
156	8.832175751
157	8.832155306
158	8.831965062
159	8.831726638
160	8.831564494
161	8.831447479
162	8.831148714
163	8.831069286
164	8.830894234
165	8.830548503
166	8.830494409
167	8.830392574
168	8.830289207
169	8.830101176
170	8.829759846
171	8.829596627
172	8.82924064
173	8.829146166
174	8.828907706
175	8.828881706
176	8.828807114
177	8.82860759
178	8.828414714
179	8.828161161
180	8.828092032
181	8.82796398
182	8.827605942
183	8.827504134
184	8.827329753
185	8.827185013
186	8.827075722
187	8.827024891
188	8.826673021
189	8.826454421
190	8.82639508
191	8.826310021
192	8.826131859
193	8.825980045
194	8.825806443
195	8.825679676
196	8.825327506
197	8.825325374
198	8.825200532
199	8.824844963
200	8.82457224
201	8.824486438
202	8.824145767
203	8.823778262
204	8.823641729
205	8.82343011
206	8.823145922
207	8.82310197
208	8.823009809
209	8.82283504
210	8.822754868
211	8.822489157
212	8.822448057
213	8.822135308
214	8.822039749
215	8.821939008
216	8.821838372
217	8.821650765
218	8.821421557
219	8.821276122
220	8.821044183
221	8.820936878
222	8.82085542
223	8.820702206
224	8.8206955
225	8.820411445
226	8.820176048
227	8.820089619
228	8.819853895
229	8.819672201
230	8.819556925
231	8.819301375
232	8.819215508
233	8.819138543
234	8.818889118
235	8.818679397
236	8.818618211
237	8.818528812
238	8.818306857
239	8.818014366
240	8.81770977
241	8.817585751
242	8.817538568
243	8.817374217
244	8.817342275
245	8.817283394
246	8.817115085
247	8.817077023
248	8.816797031
249	8.816684788
250	8.816508104
251	8.816227104
252	8.816061565
253	8.815757484
254	8.815453536
255	8.815220666
256	8.815136421
257	8.814937222
258	8.814597446
259	8.814558312
260	8.814422199
261	8.814226397
262	8.814030271
263	8.814004739
264	8.813725602
265	8.813674587
266	8.813504833
267	8.813200412
268	8.812908849
269	8.812654865
270	8.812281467
271	8.812005867
272	8.81179324
273	8.811509223
274	8.811158466
275	8.810883877
276	8.810624882
277	8.810368522
278	8.810061771
279	8.809837446
280	8.809597025
281	8.809385922
282	8.809115247
283	8.808848619
284	8.80864965
285	8.808404038
286	8.808164756
287	8.807873324
288	8.807588392
289	8.807408169
290	8.807240251
291	8.807057602
292	8.806744468
293	8.806510894
294	8.806305636
295	8.806028357
296	8.805764455
297	8.805391263
298	8.805097176
299	8.804836259
300	8.804493885
301	8.804207955
302	8.803982559
303	8.803744629
304	8.803509473
305	8.803189414
306	8.802907119
307	8.802560401
308	8.802315427
309	8.802006861
310	8.801795018
311	8.801598146
312	8.801316576
313	8.800999725
314	8.800729924
315	8.800585926
316	8.800414339
317	8.800143528
318	8.799879617
319	8.799657902
320	8.799371155
321	8.799096253
322	8.798779192
323	8.798594269
324	8.798420686
325	8.798134494
326	8.797854568
327	8.79766428
328	8.797380071
329	8.797216173
330	8.796966113
331	8.796764929
332	8.796490585
333	8.7963871
334	8.79610882
335	8.795817159
336	8.795801763
337	8.795538748
338	8.795219708
339	8.795017549
340	8.794742205
341	8.794484889
342	8.794244488
343	8.793956308
344	8.793696684
345	8.793417407
346	8.793214716
347	8.792850657
348	8.79275736
349	8.792732947
350	8.792419966
351	8.792106209
352	8.791837965
353	8.79160502
354	8.791361098
355	8.791166082
356	8.790933213
357	8.790680413
358	8.79052469
359	8.790280412
360	8.790007486
361	8.789825361
362	8.789623072
363	8.78946008
364	8.789233373
365	8.789132618
366	8.788935828
367	8.788786866
368	8.788614982
369	8.788516788
370	8.788324153
371	8.787999753
372	8.787831058
373	8.787720632
374	8.78749961
375	8.787385843
376	8.787094141
377	8.786849391
378	8.786705644
379	8.786551923
380	8.786464414
381	8.786401558
382	8.786227682
383	8.7859492
384	8.785785775
385	8.785724829
386	8.785515394
387	8.785253976
388	8.785054279
389	8.784806573
390	8.784580129
391	8.784372998
392	8.784260191
393	8.784191237
394	8.783983275
395	8.783867151
396	8.783582531
397	8.783372244
398	8.783220276
399	8.783009125
400	8.782824751
401	8.782593322
402	8.782406538
403	8.782232452
404	8.78203137
