iter	Passed	Remaining
0	92	277075
1	161	242449
2	229	229582
3	293	220196
4	357	214135
5	407	203497
6	462	197704
7	522	195238
8	584	194409
9	645	193101
10	696	189274
11	750	186813
12	795	182852
13	845	180372
14	888	176725
15	932	174000
16	982	172395
17	1026	170020
18	1078	169187
19	1137	169458
20	1183	167862
21	1223	165583
22	1269	164289
23	1313	162827
24	1387	165069
25	1431	163748
26	1485	163574
27	1534	162837
28	1583	162233
29	1631	161538
30	1673	160297
31	1725	160073
32	1772	159341
33	1816	158429
34	1859	157500
35	1911	157402
36	1960	156996
37	2018	157300
38	2065	156813
39	2124	157218
40	2181	157472
41	2230	157107
42	2277	156617
43	2331	156637
44	2381	156403
45	2431	156168
46	2476	155627
47	2519	154929
48	2566	154549
49	2612	154121
50	2665	154145
51	2719	154198
52	2763	153634
53	2824	154085
54	2875	153972
55	2931	154108
56	2986	154207
57	3025	153480
58	3078	153449
59	3140	153872
60	3200	154214
61	3264	154702
62	3323	154934
63	3375	154833
64	3431	154962
65	3480	154730
66	3544	155153
67	3599	155186
68	3653	155197
69	3710	155317
70	3757	155015
71	3817	155236
72	3863	154912
73	3923	155147
74	3976	155086
75	4024	154835
76	4074	154657
77	4117	154261
78	4183	154691
79	4229	154370
80	4284	154412
81	4341	154495
82	4402	154718
83	4459	154791
84	4505	154496
85	4564	154663
86	4613	154485
87	4658	154166
88	4720	154382
89	4776	154441
90	4839	154698
91	4891	154612
92	4955	154884
93	5011	154916
94	5088	155596
95	5146	155692
96	5201	155669
97	5242	155232
98	5301	155352
99	5359	155438
100	5415	155437
101	5471	155455
102	5530	155544
103	5588	155630
104	5640	155519
105	5697	155551
106	5754	155575
107	5814	155691
108	5866	155595
109	5943	156157
110	6003	156249
111	6069	156513
112	6134	156716
113	6187	156647
114	6263	157129
115	6331	157416
116	6395	157595
117	6462	157841
118	6525	157991
119	6585	158049
120	6642	158037
121	6704	158167
122	6770	158366
123	6823	158268
124	6891	158514
125	6946	158438
126	6996	158279
127	7056	158328
128	7097	157961
129	7152	157906
130	7212	157962
131	7260	157760
132	7311	157620
133	7365	157538
134	7427	157619
135	7489	157718
136	7544	157673
137	7606	157746
138	7669	157866
139	7696	157238
140	7745	157046
141	7806	157121
142	7862	157077
143	7919	157063
144	7962	156783
145	8012	156629
146	8076	156750
147	8135	156771
148	8197	156851
149	8251	156779
150	8301	156626
151	8328	156041
152	8387	156078
153	8433	155858
154	8491	155866
155	8543	155746
156	8593	155618
157	8611	154896
158	8666	154843
159	8722	154823
